id,name,slug,longitude,latitude,country,info:fr
17944,Wondelgem,wondelgem,3.7196550000,51.0891930000,BE,
17945,Sleidinge,sleidinge,3.6678590000,51.1261750000,BE,
17946,Waarschoot,waarschoot,3.6152180000,51.1544190000,BE,
17947,Eeklo,eeklo,3.5748840000,51.1809910000,BE,
17948,Nieuwkerken-Waas,nieuwkerken-waas,4.1853140000,51.1853420000,BE,
17949,Zwijndrecht,zwijndrecht,4.3299600000,51.2141080000,BE,Belgique
17950,Zellik,zellik,4.2754400000,50.8896150000,BE,
17951,Asse,asse,4.2083350000,50.9064970000,BE,
17952,Mollem,mollem,4.2164620000,50.9328530000,BE,
17953,Merchtem,merchtem,4.2232220000,50.9544270000,BE,
17954,Heizijde,heizijde,4.1561620000,50.9894490000,BE,
17955,Lebbeke,lebbeke,4.1342730000,51.0052880000,BE,
17956,Ingelmunster,ingelmunster,3.2553530000,50.9139850000,BE,
17957,Bissegem,bissegem,3.2252300000,50.8262050000,BE,
17958,Comines/Komen,comines-komen,2.9981990000,50.7717570000,BE,
17959,Aalst,aalst,4.0392300000,50.9427860000,BE,
17960,Willebroek,willebroek,4.3561900000,51.0664510000,BE,
17961,Bornem,bornem,4.2407420000,51.0990370000,BE,
17962,Belsele,belsele,4.0879430000,51.1506980000,BE,
17963,Melsele,melsele,4.2875030000,51.2106920000,BE,
17964,Vijfhuizen,vijfhuizen,3.9835690000,50.9433880000,BE,
17965,Erpe-Mere,erpe-mere,3.9629030000,50.9292300000,BE,
17966,Bambrugge,bambrugge,3.9358280000,50.9138410000,BE,
17967,Eke-Nazareth,eke-nazareth,3.6279290000,50.9609260000,BE,
17968,Gavere-Asper,gavere-asper,3.6399660000,50.9290960000,BE,
17969,Eine,eine,3.6237580000,50.8703870000,BE,
17970,Haaltert,haaltert,4.0238320000,50.9068470000,BE,
17971,Ede,ede,3.9875420000,50.9111440000,BE,Belgique
17972,Terhagen,terhagen,3.8964910000,50.9016520000,BE,
17973,Herzele,herzele,3.8798340000,50.8971210000,BE,
17974,Hillegem,hillegem,3.8581610000,50.8915390000,BE,
17975,Anzegem,anzegem,3.4943490000,50.8263670000,BE,
17976,Eichem,eichem,3.9940780000,50.8241380000,BE,
17977,Appelterre,appelterre,3.9724140000,50.8131440000,BE,
17978,Zandbergen,zandbergen,3.9569610000,50.8067790000,BE,
17979,Idegem,idegem,3.9214000000,50.8016650000,BE,
17980,Schendelbeke,schendelbeke,3.8992230000,50.7978440000,BE,
17981,Rebaix,rebaix,3.7935460000,50.6612080000,BE,
17982,Papignies,papignies,3.8232200000,50.6863870000,BE,
17983,Houraing,houraing,3.8352200000,50.7026660000,BE,
17984,Acren,acren,3.8469780000,50.7330680000,BE,
17985,Maffle,maffle,3.7993260000,50.6148510000,BE,
17986,Mevergnies-Attre,mevergnies-attre,3.8344560000,50.5997850000,BE,
