name,howbig,latitude,longitude,postalCode,city,department,region
Baule,c,47.8117535, 1.668127,45130,Baule,Loiret,Centre
La Chapelle-sur-Loire,c,47.251227, 0.2184812,37140,Chapelle-sur-Loire,Indre-et-Loire,Centre
Druye,c,47.3070191, 0.5354805,37190,Druye,Indre-et-Loire,Centre
Saint-Paterne,c,47.6042003, 0.4783289,37370,Saint-Paterne-Racan,Indre-et-Loire,Centre
Chambourg,c,47.1821629, 0.9648363,37310,Chambourg-sur-Indre,Indre-et-Loire,Centre
Montbazon,c,47.2917191, 0.7214769,37250,Montbazon,Indre-et-Loire,Centre
Vendôme - Villiers-sur-Loir,a,47.821937, 1.021143,41100,Vendôme,Loir-et-Cher,Centre
Tours,a,47.389781, 0.693703,37000,Tours,Indre-et-Loire,Centre
Lentilly Charpenay,c,45.8165247, 4.6824009,69210,Lentilly,Rhône,Rhône-Alpes
Halte de Fontanil – Lycée de Drap,c,43.7641521, 7.3388541,6340,Drap,Alpes-Maritimes,Provence-Alpes-Côte d'Azur
Paris Austerlitz,a,48.842285, 2.364891,75013,Paris,Paris,Île-de-France
Les Saules,b,48.7454924, 2.417366,94310,Orly,Val-de-Marne,Île-de-France
Orly Ville,b,48.741815, 2.40265,94310,Orly,Val-de-Marne,Île-de-France
Saint-Chéron,b,48.551188, 2.125597,91530,Saint-Chéron,Essonne,Île-de-France
Breuillet Village,b,48.564776, 2.171207,91650,Breuillet,Essonne,Île-de-France
Égly,b,48.582364, 2.222138,91520,Égly,Essonne,Île-de-France
Ablon,b,48.725468, 2.419151,94480,Ablon-sur-Seine,Val-de-Marne,Île-de-France
Sainte-Geneviève-des-Bois,b,48.653245, 2.313161,91700,Sainte-Geneviève-des-Bois,Essonne,Île-de-France
Saint-Michel-sur-Orge,b,48.635479, 2.306632,91240,Saint-Michel-sur-Orge,Essonne,Île-de-France
Guillerval,c,48.3744455, 2.0598748,91690,Guillerval,Essonne,Île-de-France
Chevilly,c,48.0266215, 1.8793013,45520,Chevilly,Loiret,Centre
Orléans,a,47.90796, 1.904666,45000,Orléans,Loiret,Centre
Royan,b,45.625886, -1.016703,17200,Royan,Charente-Maritime,Poitou-Charentes
La Grave d'Ambarès,c,44.9356421, -0.477021,33440,Ambarès-et-Lagrave,Gironde,Aquitaine
Aubie - Saint-Antoine,c,45.0151419, -0.4198843,33240,Aubie-et-Espessas,Gironde,Aquitaine
Massy - Verrières,b,48.7343097, 2.2736721,91300,Massy,Essonne,Île-de-France
Versailles Rive Droite,b,48.8096525, 2.1347523,78000,Versailles,Yvelines,Île-de-France
Cergy le Haut,b,49.0484932, 2.0118725,95800,Cergy,Val-d'Oise,Île-de-France
Marly-le-Roi,b,48.8713084, 2.0965436,78160,Marly-le-Roi,Yvelines,Île-de-France
Saint-Cloud,b,48.84541, 2.21687,92210,Saint-Cloud,Hauts-de-Seine,Île-de-France
Thun le Paradis,b,49.00687, 1.91922,78250,Meulan-en-Yvelines,Yvelines,Île-de-France
Maule,b,48.90917, 1.85708,78580,Maule,Yvelines,Île-de-France
Issou - Porcheville,b,48.97931, 1.78532,78440,Issou,Yvelines,Île-de-France
Mantes-la-Jolie,b,48.98984, 1.70337,78200,Mantes-la-Jolie,Yvelines,Île-de-France
Ur les Escaldes,c,42.457481, 1.9404821,66760,Ur,Pyrénées-Orientales,Languedoc-Roussillon
Bourg-Madame,c,42.4324069, 1.9486704,66760,Bourg-Madame,Pyrénées-Orientales,Languedoc-Roussillon
Sainte-Léocadie,c,42.4411844, 2.0104348,66800,Sainte-Léocadie,Pyrénées-Orientales,Languedoc-Roussillon
Saillagouse,c,42.4568855, 2.0321126,66800,Saillagouse,Pyrénées-Orientales,Languedoc-Roussillon
Estavar,c,42.4632434, 2.0179071,66800,Estavar,Pyrénées-Orientales,Languedoc-Roussillon
Bolquère - Eyne,c,42.4978734, 2.0875591,66210,Cabanasse,Pyrénées-Orientales,Languedoc-Roussillon
Fontpédrouse Saint-Thomas les Bains,c,42.5138062, 2.1886585,66360,Fontpédrouse,Pyrénées-Orientales,Languedoc-Roussillon
Serdinya,c,42.567023, 2.3230869,66360,Serdinya,Pyrénées-Orientales,Languedoc-Roussillon
Villefranche - Vernet-les-Bains,b,42.591998, 2.370396,66820,Villefranche-de-Conflent,Pyrénées-Orientales,Languedoc-Roussillon
Ria,c,42.6034078, 2.3907488,66500,Ria-Sirach,Pyrénées-Orientales,Languedoc-Roussillon
Ille-sur-Têt,c,42.6682396, 2.6242863,66130,Ille-sur-Têt,Pyrénées-Orientales,Languedoc-Roussillon
Le Soler,c,42.6787626, 2.7930798,66270,Soler,Pyrénées-Orientales,Languedoc-Roussillon
Port-Vendres,c,42.5136077, 3.1025762,66660,Port-Vendres,Pyrénées-Orientales,Languedoc-Roussillon
Elne,c,42.5971138, 2.9635851,66200,Elne,Pyrénées-Orientales,Languedoc-Roussillon
Perpignan,a,42.696292, 2.879779,66027,Perpignan,Pyrénées-Orientales,Languedoc-Roussillon
Allenc,c,44.541296, 3.6638926,48190,Allenc,Lozère,Languedoc-Roussillon
Banassac - La Canourgue,c,44.4477632, 3.1958518,48500,Banassac,Lozère,Languedoc-Roussillon
Marvejols,c,44.5446819, 3.2810718,48100,Marvejols,Lozère,Languedoc-Roussillon
Millau,b,44.102344, 3.07457,12100,Millau,Aveyron,Midi-Pyrénées
Leucate la Franqui,c,42.9327725, 3.0128555,11370,Leucate,Aude,Languedoc-Roussillon
Béziers,a,43.33633, 3.218873,34500,Béziers,Hérault,Languedoc-Roussillon
Aigues-Mortes,c,43.5709008, 4.1912102,30220,Aigues-Mortes,Gard,Languedoc-Roussillon
Vauvert,c,43.6950375, 4.270165,30600,Vauvert,Gard,Languedoc-Roussillon
Beauvoisin,c,43.7245026, 4.3212178,30640,Beauvoisin,Gard,Languedoc-Roussillon
Fons - Saint-Mamert,c,43.9073195, 4.2066687,30730,Fons,Gard,Languedoc-Roussillon
Saint-Geniès-de-Malgoirès,c,43.9501684, 4.2149416,30190,Saint-Geniès-de-Malgoirès,Gard,Languedoc-Roussillon
La Levade,c,44.228602, 4.0102736,30110,Grand-Combe,Gard,Languedoc-Roussillon
Milhaud,c,43.7884886, 4.3033268,30540,Milhaud,Gard,Languedoc-Roussillon
Saint-Césaire,c,43.8133863, 4.3276399,30900,Saint-Césaire-de-Gauzignan,Gard,Languedoc-Roussillon
Lunel-Viel,c,43.6811729, 4.0937398,34400,Lunel-Viel,Hérault,Languedoc-Roussillon
Sète,a,43.412485, 3.69656,34200,Sète,Hérault,Languedoc-Roussillon
Bédarrides,c,44.0407636, 4.8931321,84370,Bédarrides,Vaucluse,Provence-Alpes-Côte d'Azur
Briançon,b,44.889853, 6.633007,5100,Briançon,Hautes-Alpes,Provence-Alpes-Côte d'Azur
Chorges,c,44.5458415, 6.2718887,5230,Chorges,Hautes-Alpes,Provence-Alpes-Côte d'Azur
Poliénas,c,45.256006, 5.4735849,38210,Poliénas,Isère,Rhône-Alpes
