Intitulé gare;Code UIC;Segment DRG;Niveau de service;Nombre plateformes;WGS 84;Code postal;Commune;Département;Région
Bailleau-le-pin;0087394411;c;1;1;48.3668028, 1.3248851;28120;Bailleau-le-Pin;Eure-et-Loir;Centre
La Villette Saint-Prest;0087394171;b;1;1;48.4827197, 1.5228734;28300;Saint-Prest;Eure-et-Loir;Centre
Jouy;0087394155;b;1;1;48.5102582, 1.5573972;28300;Jouy;Eure-et-Loir;Centre
Saint-Piat;0087394148;b;1;1;48.5429526, 1.5904889;28130;Saint-Piat;Eure-et-Loir;Centre
Maintenon;0087394130;b;1;1;48.5854793, 1.5920651;28130;Maintenon;Eure-et-Loir;Centre
Chartres;0087394007;b;2;1;48.4482023, 1.4813128;28000;Chartres;Eure-et-Loir;Centre
Saint-Quentin en Yvelines - Montigny-le-Bretonneux;0087393843;b;;1;48.78657, 2.04523;78180;Montigny-le-Bretonneux;Yvelines;Île-de-France
Chilly-Mazarin;0087393637;b;;1;48.7004413, 2.3081837;91380;Chilly-Mazarin;Essonne;Île-de-France
Plaisir - Les Clayes;0087393629;b;;1;48.8304565, 1.9600537;78370;Plaisir;Yvelines;Île-de-France
Saint-Germain - Saint-Rémy;0087393520;c;1;1;48.7585, 1.2572208;27320;Saint-Germain-sur-Avre;Eure;Haute-Normandie
Petit Jouy Les Loges;0087393504;b;;1;48.770943, 2.1470148;78350;Jouy-en-Josas;Yvelines;Île-de-France
Dreux;0087393488;b;2;1;48.7314561, 1.3701604;28100;Dreux;Eure-et-Loir;Centre
Coignières;0087393272;b;;1;48.7437672, 1.920809;78310;Coignières;Yvelines;Île-de-France
La Verrière;0087393256;b;;1;48.7556954, 1.943674;78320;Verrière;Yvelines;Île-de-France
Viroflay Rive Gauche;0087393215;b;;1;48.800517, 2.1711466;78220;Viroflay;Yvelines;Île-de-France
Pont de l'Alma;0087393041;b;;1;48.8625705, 2.3010287;75007;Paris;Paris;Île-de-France
Vanves - Malakoff;0087391532;b;;1;48.8181959, 2.2920988;92170;Vanves;Hauts-de-Seine;Île-de-France
Morre;0087391300;c;1;1;47.2259417, 6.0673029;25660;Morre;Doubs;Franche-Comté
Romilly-la-Puthenaye;0087387175;c;1;1;49.0039213, 0.8548621;27170;Romilly-la-Puthenaye;Eure;Haute-Normandie
Épône - Mézières;0087386763;b;;1;48.9631225, 1.8085932;78680;Épône;Yvelines;Île-de-France
Achères Grand Cormier;0087386052;b;;1;48.9551835, 2.0919031;78100;Saint-Germain-en-Laye;Yvelines;Île-de-France
Mareil-Marly;0087382812;c;;1;48.8807466, 2.0790676;78750;Mareil-Marly;Yvelines;Île-de-France
Saint-Nom-la-Bretèche Forêt de Marly;0087382481;b;;1;48.8677671, 2.0509372;78620;Étang-la-Ville;Yvelines;Île-de-France
Le Val d'Or;0087382366;b;;1;48.85645, 2.21636;92210;Saint-Cloud;Hauts-de-Seine;Île-de-France
Chaville Rive Droite;0087382333;b;;1;48.81213, 2.18785;92370;Chaville;Hauts-de-Seine;Île-de-France
Bécon les Bruyères;0087382002;b;;1;48.90592, 2.26838;92400;Courbevoie;Hauts-de-Seine;Île-de-France
Argenteuil;0087381848;b;;1;48.94686, 2.25727;95100;Argenteuil;Val-d'Oise;Île-de-France
Triel-sur-Seine;0087381806;b;;1;48.98099, 2.00577;78510;Triel-sur-Seine;Yvelines;Île-de-France
Val d'Argenteuil;0087381798;b;;1;48.95042, 2.23088;95100;Argenteuil;Val-d'Oise;Île-de-France
Mantes Station;0087381590;b;;1;48.98366, 1.71581;78200;Mantes-la-Jolie;Yvelines;Île-de-France
Bourgoin-Jallieu;0087723429;b;1;1;45.583954, 5.273401;38300;Bourgoin-Jallieu;Isère;Rhône-Alpes
Brignais;0087722728;c;1;1;45.6737721, 4.7636596;69530;Brignais;Rhône;Rhône-Alpes
Givors Canal;0087722439;c;1;1;45.5957662, 4.7725754;69700;Givors;Rhône;Rhône-Alpes
Grigny le Sablon;0087722298;c;1;1;45.6072601, 4.796144;69520;Grigny;Rhône;Rhône-Alpes
Échirolles;0087725895;b;1;1;45.153022, 5.718943;38130;Échirolles;Isère;Rhône-Alpes
Fleurville - Pont-de-Vaux;0087725663;c;1;1;46.4509279, 4.8840722;71260;Fleurville;Saône-et-Loire;Bourgogne
Sennecey-le-Grand;0087725614;c;1;1;46.6406445, 4.874316;71240;Sennecey-le-Grand;Saône-et-Loire;Bourgogne
Servas - Lent;0087723791;c;1;1;46.1306663, 5.1681312;01960;Servas;Ain;Rhône-Alpes
Villars-les-Dombes;0087723759;b;1;1;46.004206, 5.028404;01330;Villars-les-Dombes;Ain;Rhône-Alpes
Meximieux - Pérouges;0087723585;b;1;1;45.901615, 5.193534;01800;Meximieux;Ain;Rhône-Alpes
Miribel;0087723528;b;1;1;45.822088, 4.95394;01700;Miribel;Ain;Rhône-Alpes
Crépieux la Pape;0087723502;c;1;1;45.8038348, 4.8922918;69140;Rillieux-la-Pape;Rhône;Rhône-Alpes
Saint-André-le-Gaz;0087723494;b;1;1;45.544518, 5.524187;38490;Saint-André-le-Gaz;Isère;Rhône-Alpes
La Verpillière;0087723395;b;1;1;45.6276, 5.150866;38290;Verpillière;Isère;Rhône-Alpes
Saint-Quentin-Fallavier;0087723387;b;1;1;45.638109, 5.099896;38070;Saint-Quentin-Fallavier;Isère;Rhône-Alpes
Saint-Priest;0087723353;b;1;1;45.686659, 4.934242;69800;Saint-Priest;Rhône;Rhône-Alpes
Le Péage-de-Roussillon;0087722678;b;1;1;45.371797, 4.795402;38550;Péage-de-Roussillon;Isère;Rhône-Alpes
Chasse-sur-Rhône;0087722561;b;1;1;45.58237, 4.794843;38670;Chasse-sur-Rhône;Isère;Rhône-Alpes
Givors;0087722405;b;1;1;45.584948, 4.766086;69700;Givors;Rhône;Rhône-Alpes
Tassin;0087721514;b;1;1;;69160;Tassin-la-Demi-Lune;Rhône;Rhône-Alpes
Écully la Demi-Lune;0087721506;c;1;1;45.7657162, 4.7795238;69130;Tassin-la-Demi-Lune;Rhône;Rhône-Alpes
Dardilly le Jubin;0087721449;c;1;1;45.815143, 4.7613451;69570;Dardilly;Rhône;Rhône-Alpes
Lozanne;0087721423;b;1;1;45.85414, 4.681501;69380;Lozanne;Rhône;Rhône-Alpes
Villefranche-sur-Saône;0087721332;b;1;1;45.9845, 4.72077;69400;Villefranche-sur-Saône;Rhône;Rhône-Alpes
Saint-Germain-au-Mont-d'Or;0087721282;b;1;1;45.888352, 4.804265;69650;Saint-Germain-au-Mont-d'Or;Rhône;Rhône-Alpes
