Intitulé gare;Code UIC;Segment DRG;Niveau de service;Nombre plateformes;WGS 84;Code postal;Commune;Département;Région
Lavilletertre;0087381202;c;1;1;49.2024666, 1.9206361;60240;Lavilletertre;Oise;Picardie
Asnières-sur-Seine;0087381137;b;;1;48.9058, 2.28324;92600;Asnières-sur-Seine;Hauts-de-Seine;Île-de-France
Colombes;0087381087;b;;1;48.92383, 2.25939;92700;Colombes;Hauts-de-Seine;Île-de-France
Avenue Foch;0087381038;b;;1;48.870971, 2.2756167;75016;Paris;Paris;Île-de-France
Les Ramassiers;0087353581;c;1;1;43.6024594, 1.3528032;31000;Colomiers;Haute-Garonne;Midi-Pyrénées
Maurois;0087345546;c;1;1;50.0674506, 3.4562554;59980;Maurois;Nord;Nord-Pas-de-Calais
Brunémont;0087345439;c;1;1;50.2783197, 3.1453509;59151;Brunémont;Nord;Nord-Pas-de-Calais
Iwuy;0087345397;c;1;1;50.2255015, 3.3298634;59141;Iwuy;Nord;Nord-Pas-de-Calais
Pont-à-Vendin;0087345264;c;1;1;50.4713812, 2.8751938;62880;Pont-à-Vendin;Pas-de-Calais;Nord-Pas-de-Calais
Ostricourt;0087345249;b;1;1;50.44542, 3.03244;59162;Ostricourt;Nord;Nord-Pas-de-Calais
Hénin-Beaumont;0087345157;b;1;1;50.41706, 2.95211;62110;Hénin-Beaumont;Pas-de-Calais;Nord-Pas-de-Calais
Loos-en-Gohelle;0087345033;c;1;1;50.4378798, 2.7933955;62750;Loos-en-Gohelle;Pas-de-Calais;Nord-Pas-de-Calais
Lens;0087345025;a;2;1;50.426818, 2.828254;62300;Lens;Pas-de-Calais;Nord-Pas-de-Calais
Lourches;0087343475;c;1;1;50.3102834, 3.3434016;59172;Lourches;Nord;Nord-Pas-de-Calais
Denain;0087343459;c;1;1;50.3345415, 3.388699;59220;Denain;Nord;Nord-Pas-de-Calais
Saint-Amand-les-Eaux;0087343103;b;1;1;50.44331, 3.41952;59230;Saint-Amand-les-Eaux;Nord;Nord-Pas-de-Calais
Vimy;0087342576;c;1;1;50.3732316, 2.8229549;62580;Vimy;Pas-de-Calais;Nord-Pas-de-Calais
Vis à Marles;0087342535;c;1;1;50.5050115, 2.5171137;62156;Marles-les-Mines;Pas-de-Calais;Nord-Pas-de-Calais
La Bassée;0087342436;b;1;1;50.52799, 2.80482;59480;Bassée;Nord;Nord-Pas-de-Calais
Thiennes;0087342287;c;1;1;50.6523561, 2.4729218;59189;Thiennes;Nord;Nord-Pas-de-Calais
Aubigny-en-Artois;0087342246;c;1;1;50.35297, 2.5928045;62690;Aubigny-en-Artois;Pas-de-Calais;Nord-Pas-de-Calais
Bully - Grenay;0087342105;b;1;1;50.44843, 2.73317;62160;Bully-les-Mines;Pas-de-Calais;Nord-Pas-de-Calais
Boisleux;0087342071;c;1;1;50.2104665, 2.771855;62175;Boisleux-au-Mont;Pas-de-Calais;Nord-Pas-de-Calais
Courcelles-le-Comte;0087342063;c;1;1;50.1694124, 2.7880351;62121;Courcelles-le-Comte;Pas-de-Calais;Nord-Pas-de-Calais
Miraumont;0087342030;c;1;1;50.0958521, 2.7344755;80300;Miraumont;Somme;Picardie
Arras;0087342014;a;2;1;50.286673, 2.781942;62000;Arras;Pas-de-Calais;Nord-Pas-de-Calais
Hirson Écoles;0087324335;c;1;1;49.9288321, 4.0861491;02500;Hirson;Aisne;Picardie
Avignon TGV;0087318964 0087981902;a c;3;2;43.921586, 4.786079;84000;Avignon;Vaucluse;Provence-Alpes-Côte d'Azur
Marquise - Rinxent;0087317339;b;1;1;50.8056635, 1.72988;62250;Rinxent;Pas-de-Calais;Nord-Pas-de-Calais
Beaurainville;0087317198;c;1;1;50.422891, 1.895345;62990;Beaurainville;Pas-de-Calais;Nord-Pas-de-Calais
Montreuil sur Mer;0087317164;c;1;1;50.4661948, 1.7691662;62170;Montreuil;Pas-de-Calais;Nord-Pas-de-Calais
Dannes - Camiers;0087317081;c;1;1;50.5759062, 1.614825;62187;Camiers;Pas-de-Calais;Nord-Pas-de-Calais
Étaples - Le Touquet;0087317065;b;2;1;50.51686, 1.64231;62630;Étaples;Pas-de-Calais;Nord-Pas-de-Calais
Feuquerolles;0087316752;c;1;1;50.0648443, 1.605574;80190;Feuquières-en-Vimeu;Somme;Picardie
Acheux - Franleu;0087316745;c;1;1;50.0826021, 1.6574207;80560;Chépy;Somme;Picardie
Pihen;0087316679;c;1;1;50.8727855, 1.7845632;62340;Pihen-lès-Guînes;Pas-de-Calais;Nord-Pas-de-Calais
Dommartin - Remiencourt;0087316109;c;1;1;49.7996523, 2.3926625;80440;Dommartin;Somme;Picardie
Blangy-sur-Bresle;0087313809;c;1;1;49.9326071, 1.6259074;76340;Blangy-sur-Bresle;Seine-Maritime;Haute-Normandie
Aumale;0087313767;c;1;1;49.7650371, 1.7560425;76390;Aumale;Seine-Maritime;Haute-Normandie
Grandvilliers;0087313734;c;1;1;49.6593779, 1.9384836;60210;Grandvilliers;Oise;Picardie
Saint-Sulpice - Auteuil;0087313684;b;1;1;49.3473824, 2.1164133;60430;Saint-Sulpice;Oise;Picardie
Balagny Saint-Épin;0087313569;c;1;1;49.2942448, 2.3441977;60250;Balagny-sur-Thérain;Oise;Picardie
Rémy;0087313403;c;1;1;49.4331452, 2.7059434;60190;Remy;Oise;Picardie
Poix-de-Picardie;0087313395;c;1;1;49.7778561, 1.9897767;80290;Poix-de-Picardie;Somme;Picardie
Clermont de l'Oise;0087313304;b;2;1;49.38531, 2.41767;60600;Clermont;Oise;Picardie
Breteuil;0087313247;c;1;1;49.626389, 2.3845164;60120;Breteuil;Oise;Picardie
Ailly-sur-Noye;0087313221;b;1;1;49.75448, 2.36419;80250;Ailly-sur-Noye;Somme;Picardie
Pont-Remy;0087313130;c;1;1;50.0472341, 1.8988404;80580;Pont-Remy;Somme;Picardie
Longpré-les-Corps-Saints;0087313122;b;1;1;50.01128, 2.00277;80510;Longpré-les-Corps-Saints;Somme;Picardie
Corbie;0087313056;b;1;1;49.9116183, 2.4996846;80800;Corbie;Somme;Picardie
Saint-Hilaire;0087297531;c;1;1;50.1319709, 3.9140099;59292;Saint-Hilaire-sur-Helpe;Nord;Nord-Pas-de-Calais
Barenton-Bugny;0087297291;c;1;1;49.6307907, 3.6559914;02000;Barenton-Bugny;Aisne;Picardie
Verneuil-sur-Serre;0087297119;c;1;1;49.6486805, 3.6677085;02000;Verneuil-sur-Serre;Aisne;Picardie
Viry-Noureuil;0087297051;c;1;1;49.6274493, 3.2503611;02300;Viry-Noureuil;Aisne;Picardie
Flavy-le-Martel;0087296871;c;1;1;49.7187375, 3.1905076;02520;Flavy-le-Martel;Aisne;Picardie
Versigny;0087296608;c;1;1;49.6574494, 3.4335692;02800;Versigny;Aisne;Picardie
Mennessis;0087296434;c;1;1;49.6915989, 3.2711145;02700;Mennessis;Aisne;Picardie
Fresnoy-le-Grand;0087296293;c;1;1;49.9501964, 3.43268;02230;Fresnoy-le-Grand;Aisne;Picardie
Vervins;0087296129;c;1;1;49.8299236, 3.8936313;02140;Vervins;Aisne;Picardie
Saint-Quentin;0087296004;b;2;1;49.8400482, 3.2970089;02100;Saint-Quentin;Aisne;Picardie
Le Quesnoy;0087295857;b;1;1;50.25021, 3.64552;59530;Quesnoy;Nord;Nord-Pas-de-Calais
Leval;0087295790;c;1;1;50.1845311, 3.8366811;59620;Leval;Nord;Nord-Pas-de-Calais
Avesnelles;0087295725;c;1;1;50.1185513, 3.9485876;59440;Avesnelles;Nord;Nord-Pas-de-Calais
Fourmies;0087295048;b;1;1;50.01541, 4.05357;59610;Fourmies;Nord;Nord-Pas-de-Calais
Jeumont;0087295014;b;1;1;50.29606, 4.08645;59460;Jeumont;Nord;Nord-Pas-de-Calais
Anstaing;0087287219;c;1;1;50.6040201, 3.1933039;59152;Anstaing;Nord;Nord-Pas-de-Calais
Sainte-Marguerite;0087287193;c;1;1;50.7403764, 3.0092045;59660;Comines;Nord;Nord-Pas-de-Calais
Marquette;0087287169;c;1;1;50.6724025, 3.0510262;59252;Marquette-lez-Lille;Nord;Nord-Pas-de-Calais
Lesquin;0087286849;b;1;1;50.59068, 3.11771;59810;Lesquin;Nord;Nord-Pas-de-Calais
Orchies;0087286583;b;2;1;50.47705, 3.24888;59310;Orchies;Nord;Nord-Pas-de-Calais
Tourcoing;0087286542;b;2;1;50.71683, 3.16804;59200;Tourcoing;Nord;Nord-Pas-de-Calais
Seclin;0087286518;b;1;1;50.5486319, 3.0350084;59113;Seclin;Nord;Nord-Pas-de-Calais
Santes;0087286401;c;1;1;50.5920123, 2.961977;59211;Santes;Nord;Nord-Pas-de-Calais
Hazebrouck;0087286302;b;2;1;50.72501, 2.54129;59190;Hazebrouck;Nord;Nord-Pas-de-Calais
Pérenchies;0087286278;b;1;1;50.66697, 2.97729;59840;Pérenchies;Nord;Nord-Pas-de-Calais
Steenwerck;0087286161;c;1;1;50.713459, 2.7855769;59181;Steenwerck;Nord;Nord-Pas-de-Calais
Haubourdin;0087286096;c;1;1;50.6070495, 2.990153;59320;Haubourdin;Nord;Nord-Pas-de-Calais
Hellemmes;0087286062;c;1;1;50.6226402, 3.1149328;59260;Lille;Nord;Nord-Pas-de-Calais
Grande-Synthe;0087281311;c;1;1;51.0026884, 2.3133547;59760;Grande-Synthe;Nord;Nord-Pas-de-Calais
Ribécourt;0087276766;b;1;1;49.50633, 2.92714;60170;Ribécourt-Dreslincourt;Oise;Picardie
Le Meux - Lacroix-Saint-Ouen;0087276733;c;1;1;49.3594029, 2.7532645;60880;Meux;Oise;Picardie
Bornel - Belle-Église;0087276717;b;1;1;49.19471, 2.20717;60540;Bornel;Oise;Picardie
Mériel;0087276675;b;;1;49.07777, 2.20528;95630;Mériel;Val-d'Oise;Île-de-France
Frépillon;0087276659;b;;1;49.0462, 2.19717;95740;Frépillon;Val-d'Oise;Île-de-France
Viarmes;0087276568;b;;1;49.11692, 2.36838;95270;Viarmes;Val-d'Oise;Île-de-France
L'Isle-Adam - Parmain;0087276527;b;;1;49.11482, 2.20976;95290;Parmain;Val-d'Oise;Île-de-France
Précy-sur-Oise;0087276410;c;1;1;49.2033492, 2.3764638;60460;Précy-sur-Oise;Oise;Picardie
Pont-Sainte-Maxence;0087276329;b;2;1;49.30974, 2.60289;60700;Pont-Sainte-Maxence;Oise;Picardie
Chevrières;0087276311;c;1;1;49.3373064, 2.6828025;60710;Chevrières;Oise;Picardie
La Borne Blanche;0087276287;c;1;1;49.126985, 2.5058656;60560;Orry-la-Ville;Oise;Picardie
Louvres;0087276253;b;;1;49.0496573, 2.5018967;95380;Louvres;Val-d'Oise;Île-de-France
Villiers-le-Bel - Gonesse - Arnouville;0087276220;b;;1;48.994175, 2.4162288;95400;Arnouville;Val-d'Oise;Île-de-France
Sannois;0087276188;b;;1;48.97016, 2.26377;95110;Sannois;Val-d'Oise;Île-de-France
Épluches;0087276147;c;;1;49.0549329, 2.1225973;95310;Saint-Ouen-l'Aumône;Val-d'Oise;Île-de-France
Chantilly - Gouvieux;0087276113;b;2;1;49.18724, 2.45979;60500;Chantilly;Oise;Picardie
Pierrelaye;0087276097;b;;1;49.01955, 2.15371;95480;Pierrelaye;Val-d'Oise;Île-de-France
Parc des Expositions;0087271486;b;;1;48.97334, 2.51382;93420;Villepinte;Seine-Saint-Denis;Île-de-France
Épinay - Villetaneuse;0087271122;b;;1;48.95838, 2.32865;93800;Épinay-sur-Seine;Seine-Saint-Denis;Île-de-France
Paris Gare du Nord;0087271007 0087271031 0087271023;a b;3 2;4;48.880185, 2.355151;75010;Paris;Paris;Île-de-France
Tieffenbach - Struth;0087215699;c;1;1;48.9062169, 7.25527;67290;Tieffenbach;Bas-Rhin;Alsace
Marignac - Saint-Béat;0087611194;c;1;1;42.9155675, 0.651998;31440;Marignac;Haute-Garonne;Midi-Pyrénées
Martres-Tolosane;0087611087;c;1;1;43.1962069, 1.0167558;31220;Martres-Tolosane;Haute-Garonne;Midi-Pyrénées
Carbonne;0087611061;b;1;1;43.298206, 1.212531;31390;Carbonne;Haute-Garonne;Midi-Pyrénées
Lavaveix-les-Mines;0087597781;c;1;1;46.0795307, 2.0890801;23150;Lavaveix-les-Mines;Creuse;Limousin
Vieilleville;0087597633;c;1;1;46.0910959, 1.6736439;23210;Mourioux-Vieilleville;Creuse;Limousin
Éguzon;0087597153;c;1;1;46.4397694, 1.5521707;36270;Éguzon-Chantôme;Indre;Centre
Argenton-sur-Creuse;0087597120;b;1;1;46.592248, 1.518305;36200;Argenton-sur-Creuse;Indre;Centre
Montpon-Ménestérol;0087595322;b;1;1;45.006326, 0.159328;24700;Montpon-Ménestérol;Dordogne;Aquitaine
Douzillac;0087595280;c;1;1;45.0794691, 0.4173893;24190;Douzillac;Dordogne;Aquitaine
Agonac;0087595157;c;1;1;45.2865966, 0.7486706;24460;Agonac;Dordogne;Aquitaine
Laval-de-Cère;0087594796;c;1;1;44.9512118, 1.9317113;46130;Laval-de-Cère;Lot;Midi-Pyrénées
Lubersac;0087594671;c;1;1;45.4446152, 1.3888289;19210;Lubersac;Corrèze;Limousin
Vignols - Saint-Solve;0087594655;c;1;1;45.313078, 1.397515;19130;Saint-Solve;Corrèze;Limousin
Turenne;0087594556;c;1;1;45.0379541, 1.6007045;19500;Turenne;Corrèze;Limousin
Ussel;0087594093;c;1;1;45.5574383, 2.3143439;19200;Ussel;Corrèze;Limousin
Brive-la-Gaillarde;0087594002;a;2;1;45.152618, 1.528655;19100;Brive-la-Gaillarde;Corrèze;Limousin
Aixe-sur-Vienne;0087592667;c;1;1;45.7965002, 1.1456892;87700;Aixe-sur-Vienne;Haute-Vienne;Limousin
Le Dorat;0087592543;c;1;1;46.2110908, 1.0793364;87210;Dorat;Haute-Vienne;Limousin
Vaulry;0087592451;c;1;1;46.0247131, 1.1091331;87140;Vaulry;Haute-Vienne;Limousin
La Souterraine;0087592378;b;1;1;46.239792, 1.492151;23300;Souterraine;Creuse;Limousin
Saint-Sulpice-Laurière;0087592345;c;1;1;46.0469183, 1.4762218;87370;Saint-Sulpice-Laurière;Haute-Vienne;Limousin
Magnac - Vicq;0087592279;c;1;1;45.6288007, 1.4438445;87380;Vicq-sur-Breuilh;Haute-Vienne;Limousin
Barsanges;0087592188;c;1;1;45.5661652, 2.0188676;19170;Pérols-sur-Vézère;Corrèze;Limousin
Brignac;0087592063;c;1;1;45.8635812, 1.4406315;87400;Royères;Haute-Vienne;Limousin
Limoges Montjovis;0087592022;c;1;1;45.8384117, 1.2514147;87100;Limoges;Haute-Vienne;Limousin
Limoges Bénédictins;0087592006;a;2;1;45.836089, 1.267356;87000;Limoges;Haute-Vienne;Limousin
Babinière;0087590349;c;1;1;47.2591762, -1.5452842;44240;Chapelle-sur-Erdre;Loire-Atlantique;Pays de la Loire
Haluchère Batignolles;0087590331;c;1;1;47.249142, -1.5224436;44000;Nantes;Loire-Atlantique;Pays de la Loire
La Gorp;0087584755;c;1;1;44.9288345, -0.4963844;33380;Ambarès-et-Lagrave;Gironde;Aquitaine
Saint-Denis-de-Pile;0087584508;c;1;1;44.9786053, -0.1980825;33910;Saint-Denis-de-Pile;Gironde;Aquitaine
Trémolat;0087584474;c;1;1;44.8625105, 0.8303278;24510;Trémolat;Dordogne;Aquitaine
Vélines;0087584177;c;1;1;44.8520145, 0.1036584;24230;Vélines;Dordogne;Aquitaine
Saint-Émilion;0087584102;c;1;1;44.8811665, -0.1592003;33330;Saint-Émilion;Gironde;Aquitaine
Ruffec;0087583849;c;1;1;46.0305185, 0.1902055;16700;Ruffec;Charente;Poitou-Charentes
La Rochefoucauld;0087583427;c;1;1;45.7401921, 0.3895946;16110;Rochefoucauld;Charente;Poitou-Charentes
Angoulême;0087583005;a;2;1;45.653572, 0.164608;16000;Angoulême;Charente;Poitou-Charentes
Podensac;0087582734;c;1;1;44.6489664, -0.3589057;33720;Podensac;Gironde;Aquitaine
Beautiran;0087582700;b;1;1;44.701041, -0.45017;33640;Beautiran;Gironde;Aquitaine
Villenave-d'Ornon;0087581835;c;1;1;44.7683428, -0.5472574;33140;Villenave-d'Ornon;Gironde;Aquitaine
Alouette France;0087581793;b;1;1;44.793355, -0.65965;33600;Pessac;Gironde;Aquitaine
Soulac-sur-Mer;0087581371;c;1;1;45.5081769, -1.1175894;33780;Soulac-sur-Mer;Gironde;Aquitaine
Pauillac;0087581256;c;1;1;45.2038438, -0.7551342;33250;Pauillac;Gironde;Aquitaine
Macau;0087581199;c;1;1;45.0040981, -0.6200068;33460;Macau;Gironde;Aquitaine
Bengy;0087576447;c;1;1;47.0004698, 2.7492361;18520;Bengy-sur-Craon;Cher;Centre
Lunery;0087576280;c;1;1;46.9351795, 2.275014;18400;Lunery;Cher;Centre
Villeherviers;0087576165;c;1;1;47.3694005, 1.7972555;41200;Villeherviers;Loir-et-Cher;Centre
Vierzon Forges;0087576090;c;1;1;47.2099931, 2.0994545;18100;Vierzon;Cher;Centre
La Ferté-Imbault;0087576082;c;1;1;47.3835442, 1.9580537;41300;Ferté-Imbault;Loir-et-Cher;Centre
Vivonne;0087575290;c;1;1;46.4266355, 0.2653156;86370;Vivonne;Vienne;Poitou-Charentes
Dissay;0087575191;c;1;1;46.703544, 0.4210161;86130;Dissay;Vienne;Poitou-Charentes
Dangé-Saint-Romain;0087575126;c;1;1;46.9378397, 0.6087754;86220;Dangé-Saint-Romain;Vienne;Poitou-Charentes
Les Ormes;0087575118;c;1;1;46.9718269, 0.6079476;86220;Ormes;Vienne;Poitou-Charentes
Port-de-Piles;0087575076;c;1;1;47.0102599, 0.5989179;37000;Celle-Saint-Avant;Indre-et-Loire;Centre
Sainte-Maure - Noyant;0087575050;c;1;1;47.1112361, 0.5769439;37800;Noyant-de-Touraine;Indre-et-Loire;Centre
Poitiers;0087575001;a;2;1;46.582275, 0.333241;86000;Poitiers;Vienne;Poitou-Charentes
Saint-Aignan - Noyers;0087574897;c;1;1;47.2869126, 1.3838369;41110;Noyers-sur-Cher;Loir-et-Cher;Centre
Chissay-en-Touraine;0087574848;c;1;1;47.3349004, 1.1333044;41400;Chissay-en-Touraine;Loir-et-Cher;Centre
Vendôme;0087574558;c;1;1;47.8021498, 1.0678728;41100;Vendôme;Loir-et-Cher;Centre
Noizay;0087574368;c;1;1;47.4096869, 0.8959456;37210;Noizay;Indre-et-Loire;Centre
Amboise;0087574343;b;2;1;47.42148, 0.981299;37400;Amboise;Indre-et-Loire;Centre
Chaingy Fourneaux Plage;0087574111;c;1;1;47.8770705, 1.782422;45380;Chaingy;Loiret;Centre
Port Boulet;0087571794;b;1;1;47.248836, 0.155648;37800;Chouzé-sur-Loire;Indre-et-Loire;Centre
Chinon;0087571687;b;1;1;47.163047, 0.251538;37500;Chinon;Indre-et-Loire;Centre
Courcay - Tauxigny;0087571448;c;1;1;47.2377076, 0.867867;37310;Courçay;Indre-et-Loire;Centre
Cormery;0087571430;b;1;1;47.26254, 0.833953;37320;Cormery;Indre-et-Loire;Centre
Esvres sur Indre;0087571422;c;1;1;47.2841016, 0.7816519;37320;Esvres;Indre-et-Loire;Centre
Aulnat Aéroport;0087562421;c;1;1;45.7920571, 3.1614332;63510;Aulnat;Puy-de-Dôme;Auvergne
Nevers le Banlay;0087559070;c;1;1;47.0068974, 3.1636746;58000;Mesves-sur-Loire;Nièvre;Bourgogne
Chemin d'Antony;0087546317;b;;1;48.748143, 2.3126207;92160;Antony;Hauts-de-Seine;Île-de-France
Rungis la Fraternelle;0087546291;b;;1;48.74032, 2.35298;94150;Rungis;Val-de-Marne;Île-de-France
Bonneval;0087545731;c;1;1;48.1862958, 1.3861845;28800;Bonneval;Eure-et-Loir;Centre
Dourdan;0087545525;b;;1;48.533466, 2.009643;91410;Dourdan;Essonne;Île-de-France
Breuillet - Bruyères-le-Châtel;0087545483;b;;1;48.577228, 2.191721;91650;Breuillet;Essonne;Île-de-France
Saint-Martin d'Étampes;0087545350;b;;1;48.42747, 2.145401;91150;Étampes;Essonne;Île-de-France
Ivry-sur-Seine;0087545301;b;;1;48.814371, 2.39099;94200;Ivry-sur-Seine;Val-de-Marne;Île-de-France
Villeneuve-le-Roi;0087545277;b;;1;48.739908, 2.426084;94290;Villeneuve-le-Roi;Val-de-Marne;Île-de-France
Monnerville;0087545111;c;;1;48.3484915, 2.0320595;91930;Monnerville;Essonne;Île-de-France
Lamotte-Beuvron;0087543140;b;1;1;47.593898, 2.022499;41600;Lamotte-Beuvron;Loir-et-Cher;Centre
Saint-Cyr-en-Val la Source;0087543116;c;1;1;47.8192, 1.9476045;45590;Saint-Cyr-en-Val;Loiret;Centre
Artenay;0087543058;c;1;1;48.0808761, 1.8833705;45410;Artenay;Loiret;Centre
Saint-André-de-Cubzac;0087491241;b;1;1;44.991255, -0.440479;33240;Saint-André-de-Cubzac;Gironde;Aquitaine
Gauriaguet;0087491225;c;1;1;45.0542936, -0.3992689;33240;Gauriaguet;Gironde;Aquitaine
Bussac;0087491191;c;1;1;45.211928, -0.3682457;17100;Bussac-Forêt;Charente-Maritime;Poitou-Charentes
Montendre;0087491183;c;1;1;45.2805457, -0.3961726;17130;Montendre;Charente-Maritime;Poitou-Charentes
Jonzac;0087491142;c;1;1;45.4387456, -0.44164;17500;Jonzac;Charente-Maritime;Poitou-Charentes
Taillebourg;0087491043;c;1;1;45.8305696, -0.6451123;17350;Taillebourg;Charente-Maritime;Poitou-Charentes
Pouzauges;0087487314;c;1;1;46.7523536, -0.8146784;85700;Pouzauges;Vendée;Pays de la Loire
Cerizay;0087487280;c;1;1;46.8176878, -0.6689931;79140;Cerizay;Deux-Sèvres;Poitou-Charentes
Torfou;0087486894;c;1;1;47.0331153, -1.1173797;49660;Torfou;Maine-et-Loire;Pays de la Loire
La Mothe-Saint-Héray;0087485508;c;1;1;46.3807592, -0.1298415;79800;Mothe-Saint-Héray;Deux-Sèvres;Poitou-Charentes
Fors;0087485326;c;1;1;46.2345203, -0.4069449;79230;Fors;Deux-Sèvres;Poitou-Charentes
Prin-Deyrançon;0087485268;c;1;1;46.2190177, -0.6365007;79210;Prin-Deyrançon;Deux-Sèvres;Poitou-Charentes
Tonnay-Charente;0087485151;c;1;1;45.9433989, -0.8978981;17430;Tonnay-Charente;Charente-Maritime;Poitou-Charentes
Saint-Laurent-de-la-Prée - Fouras;0087485136;c;1;1;45.9930002, -1.0274305;17450;Saint-Laurent-de-la-Prée;Charente-Maritime;Poitou-Charentes
Varades - Saint-Florent-le-Vieil;0087484386;c;1;1;47.3744471, -1.019712;44370;Varades;Loire-Atlantique;Pays de la Loire
Chalonnes;0087484204;b;1;1;47.34306, -0.74306;49290;Chalonnes-sur-Loire;Maine-et-Loire;Pays de la Loire
Tiercé;0087484147;b;1;1;47.617532, -0.469347;49125;Tiercé;Maine-et-Loire;Pays de la Loire
Savenay;0087481838;b;2;1;47.35859, -1.950957;44260;Savenay;Loire-Atlantique;Pays de la Loire
Le Pouliguen;0087481762;c;1;1;47.2825404, -2.4331446;44510;Pouliguen;Loire-Atlantique;Pays de la Loire
La Baule-Escoublac;0087481754;a;2;1;47.28869, -2.389102;44500;Baule-Escoublac;Loire-Atlantique;Pays de la Loire
Loures - Barbazan;0087611178;c;1;1;43.021075, 0.6104494;65370;Loures-Barousse;Hautes-Pyrénées;Midi-Pyrénées
Labarthe-Inard;0087611129;c;1;1;43.1049687, 0.8519176;31800;Labarthe-Inard;Haute-Garonne;Midi-Pyrénées
Boussens;0087611095;b;1;1;43.179617, 0.972543;31360;Boussens;Haute-Garonne;Midi-Pyrénées
Cazères;0087611079;b;1;1;43.212834, 1.083106;31220;Cazères;Haute-Garonne;Midi-Pyrénées
Créteil Pompadour;0087608802;c;;1;48.7715403, 2.4352763;94600;Créteil;Val-de-Marne;Île-de-France
Parsac - Gouzon;0087597724;c;1;1;46.1986154, 2.1744416;23140;Parsac;Creuse;Limousin
Belvès;0087595876;c;1;1;44.7773978, 1.0118831;24170;Belvès;Dordogne;Aquitaine
Sarlat;0087595827;c;1;1;44.8770213, 1.220328;24200;Sarlat-la-Canéda;Dordogne;Aquitaine
Le Buisson;0087595751;c;1;1;44.84723, 0.9081756;24480;Buisson-de-Cadouin;Dordogne;Aquitaine
La Bachellerie;0087595595;c;1;1;45.1511154, 1.1601301;24210;Bachellerie;Dordogne;Aquitaine
Niversac;0087595512;c;1;1;45.1383083, 0.8082195;24330;Saint-Laurent-sur-Manoire;Dordogne;Aquitaine
Mussidan;0087595298;b;1;1;45.034329, 0.354071;24400;Mussidan;Dordogne;Aquitaine
Neuvic;0087595272;c;1;1;45.0999632, 0.4450162;24190;Neuvic;Dordogne;Aquitaine
Saint-Léon-sur-l'Isle;0087595264;c;1;1;45.1233004, 0.4923106;24110;Saint-Léon-sur-l'Isle;Dordogne;Aquitaine
La Cave;0087595215;c;1;1;45.1839595, 0.628305;24200;Marsac-sur-l'Isle;Dordogne;Aquitaine
Bretenoux - Biars;0087594762;c;1;1;44.9273692, 1.8436871;46130;Biars-sur-Cère;Lot;Midi-Pyrénées
Puybrun;0087594754;c;1;1;44.9216335, 1.7841548;46130;Puybrun;Lot;Midi-Pyrénées
Bétaille;0087594747;c;1;1;44.9424281, 1.7344108;46110;Bétaille;Lot;Midi-Pyrénées
Vayrac;0087594739;c;1;1;44.9501471, 1.7062871;46110;Vayrac;Lot;Midi-Pyrénées
Les Quatre-Routes;0087594564;c;1;1;44.9974864, 1.6439067;46110;Quatre-Routes-du-Lot;Lot;Midi-Pyrénées
Terrasson;0087594408;c;1;1;45.1357901, 1.3004219;24120;Terrasson-Lavilledieu;Dordogne;Aquitaine
Gignac - Cressensac;0087594325;c;1;1;45.0146074, 1.4831648;46600;Gignac;Lot;Midi-Pyrénées
Vigeois;0087594218;c;1;1;45.3829467, 1.5149455;19410;Vigeois;Corrèze;Limousin
Uzerche;0087594200;c;1;1;45.4407088, 1.5702735;19140;Uzerche;Corrèze;Limousin
Égletons;0087594168;c;1;1;45.4023816, 2.0651243;19300;Égletons;Corrèze;Limousin
Montaignac-Saint-Hippolyte;0087594135;c;1;1;45.3546898, 1.9797531;19300;Montaignac-Saint-Hippolyte;Corrèze;Limousin
Coussac-Bonneval;0087592840;c;1;1;45.5076088, 1.3110412;87500;Coussac-Bonneval;Haute-Vienne;Limousin
Saint-Junien;0087592709;c;1;1;45.8813844, 0.9004849;87200;Saint-Junien;Haute-Vienne;Limousin
Verneuil-sur-Vienne;0087592675;c;1;1;45.837848, 1.1126156;87430;Verneuil-sur-Vienne;Haute-Vienne;Limousin
Fromental;0087592360;c;1;1;46.1715646, 1.4324317;87250;Fromental;Haute-Vienne;Limousin
Eymoutiers Vassivière;0087592121;c;1;1;45.7397876, 1.7412237;87120;Eymoutiers;Haute-Vienne;Limousin
Châteauneuf - Bujaleuf;0087592105;c;1;1;45.759316, 1.6453027;87460;Neuvic-Entier;Haute-Vienne;Limousin
Saint-Denis-des-Murs;0087592097;c;1;1;45.7889106, 1.5514368;87400;Saint-Denis-des-Murs;Haute-Vienne;Limousin
Aiguillon;0087586693;c;1;1;44.2987224, 0.3352388;47190;Aiguillon;Lot-et-Garonne;Aquitaine
Sainte-Bazeille;0087586479;c;1;1;44.5326935, 0.0931269;47180;Sainte-Bazeille;Lot-et-Garonne;Aquitaine
Penne;0087586438;c;1;1;44.3799858, 0.8029779;47140;Penne-d'Agenais;Lot-et-Garonne;Aquitaine
Saint-Loubès;0087584730;c;1;1;44.9224009, -0.4333056;33450;Saint-Loubès;Gironde;Aquitaine
Saint-Seurin-sur-l'Isle;0087584615;c;1;1;45.0114075, -0.0026606;33660;Saint-Seurin-sur-l'Isle;Gironde;Aquitaine
Saint-Médard-de-Guizières;0087584607;c;1;1;45.0155723, -0.0488253;33230;Saint-Médard-de-Guizières;Gironde;Aquitaine
